Service Item No,SI Code,AU,NZ,CN,HK,TW,SG,TH,ID,MY,VN,PH
2.1.1.1,WPS_Client_Normal_Install (Self-Service Point),357.77,382.04,732.42,1260.92,4573.52,383.91,4633.18,1956433.96,459.26,3234180.25,6920.52
2.1.1.10,WPS_Client_Normal_Repair With Double Swap,422.82,451.5,865.58,1490.18,5405.07,453.71,5475.57,2312149.22,542.76,3822213.03,8178.8
2.1.1.2,WPS_Client_Normal_Install (Desk-Side),357.77,382.04,732.42,1260.92,4573.52,383.91,4633.18,1956433.96,459.26,3234180.25,6920.52
2.1.1.3,WPS_Client_Normal_Data Backup-Restore,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.1.4,WPS_Client_Normal_Move,308.99,329.94,632.54,1088.98,3949.86,331.56,4001.38,1689647.51,396.63,2793155.67,5976.82
2.1.1.5,WPS_Client_Normal_Add,162.62,173.66,332.92,573.15,2078.87,174.5,2105.99,889288.16,208.75,1470081.93,3145.69
2.1.1.6,WPS_Client_Normal_Change,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.1.7,WPS_Client_Normal_Remove,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.1.8,WPS_Client_Normal_Disposal,113.84,121.56,233.04,401.2,1455.21,122.15,1474.19,622501.71,146.13,1029057.35,2201.99
2.1.1.9,WPS_Client_Normal_Repair,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.2.1,WPS_Print_Normal_Install,357.77,382.04,732.42,1260.92,4573.52,383.91,4633.18,1956433.96,459.26,3234180.25,6920.52
2.1.2.2,WPS_Print_Normal_Move,308.99,329.94,632.54,1088.98,3949.86,331.56,4001.38,1689647.51,396.63,2793155.67,5976.82
2.1.2.3,WPS_Print_Normal_Add,162.62,173.66,332.92,573.15,2078.87,174.5,2105.99,889288.16,208.75,1470081.93,3145.69
2.1.2.4,WPS_Print_Normal_Change,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.2.5,WPS_Print_Normal_Remove,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.1.2.6,WPS_Print_Normal_Disposal,113.84,121.56,233.04,401.2,1455.21,122.15,1474.19,622501.71,146.13,1029057.35,2201.99
2.1.2.7,WPS_Print_Normal_Repair,211.41,225.75,432.79,745.09,2702.53,226.85,2737.79,1156074.61,271.38,1911106.51,4089.4
2.2.1.1,WPS_Client_High_Install (Self-Service Point),393.55,420.25,805.66,1387.01,5030.87,422.3,5096.49,2152077.35,505.18,3557598.28,7612.58
2.2.1.10,WPS_Client_High_Repair With Double Swap,250.44,267.43,512.69,882.64,3201.46,268.73,3243.22,1369503.77,321.48,2263926.18,4844.37
2.2.1.11,WPS_Client_High_VIP Services,447.22,477.55,915.52,1576.15,5716.9,479.88,5791.47,2445542.44,574.07,4042725.32,8650.66
2.2.1.2,WPS_Client_High_Install (Desk-Side),339.89,362.94,695.8,1197.87,4344.84,364.71,4401.52,1858612.26,436.29,3072471.24,6574.5
2.2.1.3,WPS_Client_High_Data Backup-Restore,232.55,248.33,476.07,819.6,2972.79,249.54,3011.57,1271682.07,298.52,2102217.16,4498.34
